trigger_dt,pitch_dt,ticker,sentiment
2025-12-18,2025-12-01,ZS,bullish
2026-01-26,2025-12-02,SOC,bearish
2025-12-02,2025-12-02,RNAC,bullish
2025-12-02,2025-12-02,FOXF,bullish
2025-12-04,2025-12-02,BE,bullish
2025-12-02,2025-12-02,LEGH,bullish
2025-12-02,2025-12-02,VTGN,bearish
2025-12-09,2025-12-02,EVC,bullish
2025-12-15,2025-12-02,POST,bullish
2025-12-03,2025-12-03,NVO,bullish
2025-12-03,2025-12-03,LASR,bullish
2025-12-03,2025-12-03,JCTC,bullish
2025-12-03,2025-12-03,EWBC,bullish
2025-12-03,2025-12-03,SSNC,bullish
2025-12-24,2025-12-03,CYTK,bullish
2025-12-03,2025-12-03,CMCSA,bullish
2025-12-04,2025-12-04,FIGR,bullish
2025-12-08,2025-12-04,DERM,bullish
2025-12-04,2025-12-04,PRVA,bullish
2025-12-05,2025-12-05,CABA,bullish
2025-12-05,2025-12-05,CVE,bullish
2025-12-05,2025-12-05,ADBE,bullish
2025-12-05,2025-12-05,SMTC,bullish
2025-12-05,2025-12-05,MU,bearish
2025-12-05,2025-12-05,LMNR,bullish
2025-12-05,2025-12-05,DY,bullish
2025-12-05,2025-12-05,SATS,bullish
2025-12-10,2025-12-05,STRL,bullish
2025-12-18,2025-12-05,HKXCY,bullish
2026-01-26,2025-12-06,SXC,bearish
2025-12-24,2025-12-06,T,bullish
2025-12-08,2025-12-06,PATH,bullish
2025-12-08,2025-12-06,INTC,bullish
2025-12-23,2025-12-06,EW,bullish
2025-12-11,2025-12-07,SPRB,bullish
2025-12-08,2025-12-07,BORR,bullish
2025-12-08,2025-12-07,EQNR,bullish
2025-12-08,2025-12-07,VG,bullish
2025-12-26,2025-12-08,CIBH,bullish
2025-12-08,2025-12-08,SE,bullish
2025-12-08,2025-12-08,SMCI,bullish
2025-12-08,2025-12-08,BCIC,bullish
2025-12-08,2025-12-08,WEN,bullish
2025-12-30,2025-12-08,WSM,bearish
2025-12-22,2025-12-08,PRGS,bearish
2025-12-24,2025-12-08,SMX,bearish
2025-12-08,2025-12-08,NRDY,bullish
2025-12-10,2025-12-09,AMBA,bullish
2025-12-09,2025-12-09,MRVL,bullish
2025-12-09,2025-12-09,RDW,bullish
2025-12-09,2025-12-09,SMTI,bullish
2025-12-11,2025-12-10,GTLB,bullish
2025-12-10,2025-12-10,FF,bullish
2025-12-10,2025-12-10,UFI,bullish
2025-12-11,2025-12-11,TTD,bullish
2025-12-11,2025-12-11,ASO,bullish
2025-12-11,2025-12-11,SANG,bullish
2025-12-11,2025-12-11,RELY,bullish
2025-12-11,2025-12-11,LITE,bullish
2025-12-11,2025-12-11,CLW,bullish
2025-12-11,2025-12-11,ADBE,bullish
2025-12-12,2025-12-12,KLIC,bullish
2025-12-12,2025-12-12,TEVA,bullish
2025-12-12,2025-12-12,METC,bullish
2025-12-12,2025-12-12,DVA,bullish
2025-12-12,2025-12-12,NXGL,bullish
2025-12-12,2025-12-12,SLNH,bullish
2025-12-15,2025-12-13,CYRX,bullish
2025-12-15,2025-12-13,FND,bullish
2025-12-15,2025-12-13,ASTS,bullish
2026-01-12,2025-12-13,AVGO,bullish
2025-12-22,2025-12-13,CVNA,bearish
2025-12-15,2025-12-13,UTZ,bullish
2025-12-15,2025-12-14,ACMR,bullish
2026-01-07,2025-12-15,TRAW,bullish
2025-12-15,2025-12-15,NEU,bearish
2025-12-24,2025-12-15,SNY,bullish
2025-12-15,2025-12-15,HTZ,bullish
2025-12-15,2025-12-15,ELUT,bullish
2025-12-15,2025-12-15,CNS,bullish
2025-12-15,2025-12-15,DRVN,bullish
2025-12-16,2025-12-16,DELL,bullish
2025-12-16,2025-12-16,NLCP,bullish
2025-12-23,2025-12-16,AMZN,bullish
2025-12-16,2025-12-16,MITK,bullish
2025-12-22,2025-12-16,IREN,bullish
2025-12-23,2025-12-17,MIND,bullish
2025-12-30,2025-12-17,VZ,bullish
2025-12-17,2025-12-17,EVVTY,bullish
2025-12-17,2025-12-17,WLAC,bullish
2026-02-19,2025-12-17,MDLN,bullish
2025-12-30,2025-12-18,UBER,bullish
2026-01-06,2025-12-18,TMDX,bullish
2025-12-18,2025-12-18,META,bullish
2025-12-18,2025-12-18,SERV,bearish
2025-12-23,2025-12-18,AMZN,bullish
2025-12-18,2025-12-18,VOD,bullish
2025-12-26,2025-12-18,VKTX,bullish
2026-01-06,2025-12-19,GSK,bullish
2026-04-02,2025-12-19,HYNE,bullish
2025-12-23,2025-12-19,MELI,bullish
2025-12-30,2025-12-19,UBER,bullish
2025-12-19,2025-12-19,SFES,bullish
2025-12-26,2025-12-19,ALMU,bullish
2025-12-22,2025-12-20,KLAR,bullish
2025-12-22,2025-12-20,MYE,bullish
2025-12-22,2025-12-20,HRBR,bullish
2025-12-22,2025-12-20,MOH,bullish
2025-12-22,2025-12-21,GRAB,bullish
2025-12-22,2025-12-21,DUOL,bullish
2025-12-26,2025-12-21,WSTRF,bullish
2025-12-22,2025-12-21,ENVA,bullish
2025-12-22,2025-12-21,IREN,bullish
2025-12-22,2025-12-21,PGY,bullish
2026-01-26,2025-12-21,TBBB,bullish
2026-01-05,2025-12-21,HIMS,bullish
2025-12-22,2025-12-21,WING,bullish
2025-12-22,2025-12-22,RIVN,bullish
2026-01-05,2025-12-22,HIMS,bullish
2025-12-22,2025-12-22,ELVA,bullish
